"GEOCODIGO_MUNICIPIO","NOME_MUNICIPIO","long_neg","lat_neg","Municipio_Codigo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","long","lat"
"1100015","ALTA FLORESTA D'OESTE","-61.999824","-11.93554","1100015 ALTA FLORESTA D'OESTE","1","1","1","1","2","3","6","3","13","3","2","19","61.999824","11.93554"
"1100023","ARIQUEMES","-63.033269","-9.908463","1100023 ARIQUEMES","1","1","1","8","21","25","55","66","80","71","75","50","63.033269","9.908463"
"1100031","CABIXI","-60.544314","-13.499763","1100031 CABIXI","1","1","1","1","1","1","1","1","1","2","2","1","60.544314","13.499763"
"1100049","CACOAL","-61.442944","-11.433865","1100049 CACOAL","7","27","41","20","37","53","95","90","70","58","119","68","61.442944","11.433865"
"1100056","CEREJEIRAS","-60.818426","-13.195033","1100056 CEREJEIRAS","1","1","1","5","1","2","2","7","5","12","3","2","60.818426","13.195033"
"1100064","COLORADO DO OESTE","-60.555067","-13.130564","1100064 COLORADO DO OESTE","1","1","1","6","2","1","4","16","16","25","8","2","60.555067","13.130564"
"1100072","CORUMBIARA","-60.948701","-12.99752","1100072 CORUMBIARA","1","1","1","1","1","2","1","1","1","3","6","1","60.948701","12.99752"
"1100080","COSTA MARQUES","-64.231654","-12.436014","1100080 COSTA MARQUES","1","1","1","1","1","1","1","1","1","1","4","1","64.231654","12.436014"
"1100098","ESPIGÃO D'OESTE","-61.020173","-11.528555","1100098 ESPIGÃO D'OESTE","1","1","1","6","2","3","10","24","20","18","15","11","61.020173","11.528555"
"1100106","GUAJARÁ-MIRIM","-65.323952","-10.773884","1100106 GUAJARÁ-MIRIM","1","1","2","3","1","7","3","21","48","54","44","34","65.323952","10.773884"
"1100114","JARU","-62.476231","-10.435949","1100114 JARU","1","1","1","3","2","9","20","13","54","33","27","4","62.476231","10.435949"
"1100122","JI-PARANÁ","-61.945095","-10.882051","1100122 JI-PARANÁ","1","1","1","1","6","75","178","140","131","79","100","49","61.945095","10.882051"
"1100130","MACHADINHO D'OESTE","-61.999593","-9.425562","1100130 MACHADINHO D'OESTE","1","1","1","1","5","1","1","11","45","37","23","7","61.999593","9.425562"
"1100148","NOVA BRASILÂNDIA D'OESTE","-62.30823","-11.721325","1100148 NOVA BRASILÂNDIA D'OESTE","1","1","1","1","5","3","5","1","2","7","1","5","62.30823","11.721325"
"1100155","OURO PRETO DO OESTE","-62.261055","-10.723574","1100155 OURO PRETO DO OESTE","1","1","1","1","1","1","9","3","5","11","20","5","62.261055","10.723574"
"1100189","PIMENTA BUENO","-61.183666","-11.677537","1100189 PIMENTA BUENO","1","1","1","1","5","17","28","17","22","12","26","4","61.183666","11.677537"
"1100205","PORTO VELHO","-63.831446","-8.768892","1100205 PORTO VELHO","1","3","6","19","29","32","154","214","399","320","270","198","63.831446","8.768892"
"1100254","PRESIDENTE MÉDICI","-61.909439","-11.173205","1100254 PRESIDENTE MÉDICI","1","1","1","1","1","2","4","1","1","7","3","2","61.909439","11.173205"
"1100262","RIO CRESPO","-62.90001","-9.705537","1100262 RIO CRESPO","1","1","1","1","1","1","1","1","4","7","1","2","62.90001","9.705537"
"1100288","ROLIM DE MOURA","-61.785781","-11.722259","1100288 ROLIM DE MOURA","1","5","1","1","2","14","7","1","3","14","48","22","61.785781","11.722259"
"1100296","SANTA LUZIA D'OESTE","-61.773305","-11.908423","1100296 SANTA LUZIA D'OESTE","1","1","1","1","2","1","1","2","1","1","1","1","61.773305","11.908423"
"1100304","VILHENA","-60.138584","-12.741373","1100304 VILHENA","1","1","3","15","11","3","9","3","2","4","1","33","60.138584","12.741373"
"1100320","SÃO MIGUEL DO GUAPORÉ","-62.720063","-11.69949","1100320 SÃO MIGUEL DO GUAPORÉ","1","1","1","2","1","1","2","1","8","7","5","7","62.720063","11.69949"
"1100338","NOVA MAMORÉ","-65.329149","-10.411771","1100338 NOVA MAMORÉ","1","1","1","1","1","3","2","5","7","1","11","8","65.329149","10.411771"
"1100346","ALVORADA D'OESTE","-62.277275","-11.34413","1100346 ALVORADA D'OESTE","1","1","1","1","1","2","6","1","6","2","8","4","62.277275","11.34413"
"1100379","ALTO ALEGRE DOS PARECIS","-61.853077","-12.131777","1100379 ALTO ALEGRE DOS PARECIS","1","1","1","3","1","1","1","2","7","3","1","1","61.853077","12.131777"
"1100403","ALTO PARAÍSO","-63.317629","-9.716667","1100403 ALTO PARAÍSO","1","1","1","1","2","3","4","1","7","3","1","1","63.317629","9.716667"
"1100452","BURITIS","-63.829679","-10.209805","1100452 BURITIS","1","1","1","2","1","13","15","18","39","48","54","31","63.829679","10.209805"
"1100502","NOVO HORIZONTE DO OESTE","-61.994388","-11.709743","1100502 NOVO HORIZONTE DO OESTE","1","1","1","1","1","1","1","1","1","1","1","2","61.994388","11.709743"
"1100601","CACAULÂNDIA","-62.90319","-10.338873","1100601 CACAULÂNDIA","1","1","1","1","1","1","1","1","1","1","1","1","62.90319","10.338873"
"1100700","CAMPO NOVO DE RONDÔNIA","-63.624991","-10.568416","1100700 CAMPO NOVO DE RONDÔNIA","1","1","1","1","1","1","6","6","12","7","5","1","63.624991","10.568416"
"1100809","CANDEIAS DO JAMARI","-63.70002","-8.785021","1100809 CANDEIAS DO JAMARI","1","1","1","1","2","8","19","14","10","9","20","10","63.70002","8.785021"
"1100908","CASTANHEIRAS","-61.949161","-11.426842","1100908 CASTANHEIRAS","1","1","1","1","1","1","1","1","1","1","1","1","61.949161","11.426842"
"1100924","CHUPINGUAIA","-60.901848","-12.556841","1100924 CHUPINGUAIA","1","1","1","1","1","1","2","1","6","10","1","4","60.901848","12.556841"
"1100940","CUJUBIM","-62.587175","-9.378193","1100940 CUJUBIM","1","1","1","1","5","6","6","11","20","17","7","3","62.587175","9.378193"
"1101005","GOVERNADOR JORGE TEIXEIRA","-62.740458","-10.612072","1101005 GOVERNADOR JORGE TEIXEIRA","1","1","1","1","1","1","2","1","1","1","2","1","62.740458","10.612072"
"1101104","ITAPUÃ DO OESTE","-63.182337","-9.191872","1101104 ITAPUÃ DO OESTE","1","1","1","1","1","1","1","1","3","3","1","1","63.182337","9.191872"
"1101203","MINISTRO ANDREAZZA","-61.518922","-11.196238","1101203 MINISTRO ANDREAZZA","1","1","1","1","1","3","1","1","1","2","4","1","61.518922","11.196238"
"1101302","MIRANTE DA SERRA","-62.669427","-11.045609","1101302 MIRANTE DA SERRA","1","1","1","1","1","1","1","1","4","1","2","1","62.669427","11.045609"
"1101401","MONTE NEGRO","-63.295559","-10.263098","1101401 MONTE NEGRO","1","1","2","1","4","6","6","9","26","11","12","7","63.295559","10.263098"
"1101435","NOVA UNIÃO","-62.555089","-10.915532","1101435 NOVA UNIÃO","1","1","1","1","1","1","7","1","1","1","1","1","62.555089","10.915532"
"1101450","PARECIS","-61.597998","-12.179827","1101450 PARECIS","1","1","1","1","2","1","5","1","2","4","1","1","61.597998","12.179827"
"1101468","PIMENTEIRAS DO OESTE","-61.044379","-13.476562","1101468 PIMENTEIRAS DO OESTE","1","1","1","1","1","1","1","1","1","2","1","1","61.044379","13.476562"
"1101476","PRIMAVERA DE RONDÔNIA","-61.316546","-11.825707","1101476 PRIMAVERA DE RONDÔNIA","1","1","1","1","1","2","2","1","4","2","1","1","61.316546","11.825707"
"1101484","SÃO FELIPE D'OESTE","-61.512508","-11.914389","1101484 SÃO FELIPE D'OESTE","1","1","1","1","1","2","2","3","1","1","1","1","61.512508","11.914389"
"1101492","SÃO FRANCISCO DO GUAPORÉ","-63.570865","-12.063798","1101492 SÃO FRANCISCO DO GUAPORÉ","1","1","1","1","2","2","5","13","15","17","23","12","63.570865","12.063798"
"1101500","SERINGUEIRAS","-63.038761","-11.767117","1101500 SERINGUEIRAS","1","1","1","1","1","1","1","1","1","2","3","2","63.038761","11.767117"
"1101559","TEIXEIRÓPOLIS","-62.255922","-10.932169","1101559 TEIXEIRÓPOLIS","1","1","1","1","1","1","1","1","1","1","1","2","62.255922","10.932169"
